Change Component Footprint: Designator=P9 Old Footprint=DF3A-2P-2DS New Footprint=DF3A-2P-2DS Vert
Change Net Name : Old Net Name=NetH3_1 New Net Name=NetC1_2
Change Net Name : Old Net Name=NetH3_17 New Net Name=NetC3_2
Change Net Name : Old Net Name=NetH3_18 New Net Name=NetC2_2
Change Net Name : Old Net Name=NetH3_19 New Net Name=NetC1_1
Change Net Name : Old Net Name=NetH3_20 New Net Name=NetC2_1
Change Net Name : Old Net Name=NetH4_1 New Net Name=NetC1_2
Change Net Name : Old Net Name=NetH4_17 New Net Name=NetC3_2
Change Net Name : Old Net Name=NetH4_18 New Net Name=NetC2_2
Change Net Name : Old Net Name=NetH4_19 New Net Name=NetC1_1
Change Net Name : Old Net Name=NetH4_20 New Net Name=NetC2_1
